date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:45:53	52287/52287	---M-Z	200	added ('OK')	text/css	etag:%22cc3f-5e8c941122d25-gzip%22	https://shreethemes.in/doctris/layouts/assets/css/style-rtl.min.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/css/style-rtl.min.css	(from https://shreethemes.in/doctris/layouts/admin/index-rtl.html)
22:45:53	255900/255900	---M-Z	200	added ('OK')	text/css	etag:%223e79c-5e8c94111fe45-gzip%22	https://shreethemes.in/doctris/layouts/assets/css/bootstrap-dark-rtl.min.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/css/bootstrap-dark-rtl.min.css	(from https://shreethemes.in/doctris/layouts/admin/index-rtl-dark.html)
22:45:54	54189/54189	---M-Z	200	added ('OK')	text/css	etag:%22d3ad-5e8c941121d85-gzip%22	https://shreethemes.in/doctris/layouts/assets/css/style-dark-rtl.min.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/css/style-dark-rtl.min.css	(from https://shreethemes.in/doctris/layouts/admin/index-rtl-dark.html)
22:45:54	5609/5609	---M-Z	200	added ('OK')	text/css	etag:%2215e9-5e8c9411559a9-gzip%22	https://shreethemes.in/doctris/layouts/assets/libs/js-datepicker/datepicker.min.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/libs/js-datepicker/datepicker.min.css	(from https://shreethemes.in/doctris/layouts/admin/appointment.html)
22:45:54	30174/30174	---M--	200	added ('OK')	image/jpeg	etag:%2275de-5c7137e80a1e2%22	https://shreethemes.in/doctris/layouts/assets/images/client/08.jpg	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/images/client/08.jpg	(from https://shreethemes.in/doctris/layouts/admin/appointment.html)
22:45:54	19132/19132	---M--	200	added ('OK')	image/jpeg	etag:%224abc-5c7137e80b183%22	https://shreethemes.in/doctris/layouts/assets/images/doctors/06.jpg	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/images/doctors/06.jpg	(from https://shreethemes.in/doctris/layouts/admin/appointment.html)
22:45:54	21660/21660	---M--	200	added ('OK')	image/jpeg	etag:%22549c-5c7137e80b183%22	https://shreethemes.in/doctris/layouts/assets/images/doctors/07.jpg	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/images/doctors/07.jpg	(from https://shreethemes.in/doctris/layouts/admin/appointment.html)
22:45:55	18180/18180	---M--	200	added ('OK')	image/jpeg	etag:%224704-5c7137e80a1e2%22	https://shreethemes.in/doctris/layouts/assets/images/client/10.jpg	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/images/client/10.jpg	(from https://shreethemes.in/doctris/layouts/admin/appointment.html)
22:45:55	20715/20715	---M--	200	added ('OK')	image/jpeg	etag:%2250eb-5c7137e80b183%22	https://shreethemes.in/doctris/layouts/assets/images/doctors/08.jpg	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/images/doctors/08.jpg	(from https://shreethemes.in/doctris/layouts/admin/appointment.html)
22:45:55	16835/16835	---M-Z	200	added ('OK')	application/javascript	etag:%2241c3-5e8c9411559a9-gzip%22	https://shreethemes.in/doctris/layouts/assets/libs/js-datepicker/datepicker.min.js	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/libs/js-datepicker/datepicker.min.js	(from https://shreethemes.in/doctris/layouts/admin/appointment.html)
